OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9416244,43069,2021/03/10 10:00:00+00,6585,,330231000,301 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN21-0001,ZNG-ZONING,ZNG-MALLVN
9416245,43068,2020/12/04 10:00:00+00,2095,,280049000,414 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0025,ZNG-ZONING,ZNG-MALLVN
9416246,43067,2020/11/25 10:00:00+00,1340,,280026100,109 2ND ST SE,OPEN,0,Downtown Mall Vendor,,VEN20-0024,ZNG-ZONING,ZNG-MALLVN
9416247,43066,2020/11/25 10:00:00+00,4125,,330248000,101-111 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0023,ZNG-ZONING,ZNG-MALLVN
9416248,43065,2020/11/25 10:00:00+00,1875,,280052000,422 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0022,ZNG-ZONING,ZNG-MALLVN
9416249,43064,2020/11/25 10:00:00+00,1700,,280016000,118-120 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0021,ZNG-ZONING,ZNG-MALLVN
9416250,43063,2020/11/25 10:00:00+00,955,,100007000,1327-29 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0020,ZNG-ZONING,ZNG-MALLVN
9416251,43062,2020/11/25 10:00:00+00,405,,330220000,310 E MARKET ST,OPEN,0,Downtown Mall Vendor,,VEN20-0019,ZNG-ZONING,ZNG-MALLVN
9416252,43061,2020/10/08 08:00:00+00,2062.5,,530061000,415-417 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0018,ZNG-ZONING,ZNG-MALLVN
9416253,43060,2020/10/08 08:00:00+00,968.75,,280010000,200 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0017,ZNG-ZONING,ZNG-MALLVN
9416254,43059,2020/10/06 08:00:00+00,1095,,100007000,1327-29 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0016,ZNG-ZONING,ZNG-MALLVN
9416255,43058,2020/03/20 08:00:00+00,2062.5,,530061000,415-417 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0015,ZNG-ZONING,ZNG-MALLVN
9416256,43057,2020/03/19 08:00:00+00,2250,,330269000,213 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0014,ZNG-ZONING,ZNG-MALLVN
9416258,43055,2020/03/17 08:00:00+00,5687.5,,330240100,201 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0012,ZNG-ZONING,ZNG-MALLVN
9416259,43054,2020/03/17 08:00:00+00,2254.58,,330273000,223 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0011,ZNG-ZONING,ZNG-MALLVN
9416261,43052,2020/03/12 08:00:00+00,2095,,280047000,406 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0009,ZNG-ZONING,ZNG-MALLVN
9416263,43050,2020/03/05 10:00:00+00,10312.5,,330258000,109 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0007,ZNG-ZONING,ZNG-MALLVN
9416265,43048,2020/02/27 10:00:00+00,1583.33,,280041000,310-312 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0005,ZNG-ZONING,ZNG-MALLVN
9416266,43047,2020/02/27 10:00:00+00,3625,,280041000,310-312 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN20-0004,ZNG-ZONING,ZNG-MALLVN
9416267,43046,2020/02/25 10:00:00+00,1925,,530091LH3,100 5TH ST NE 3,OPEN,0,Downtown Mall Vendor,,VEN20-0003,ZNG-ZONING,ZNG-MALLVN
9416268,43045,2020/02/25 10:00:00+00,1925,,530091LH3,100 5TH ST NE 3,OPEN,0,Downtown Mall Vendor,,VEN20-0002,ZNG-ZONING,ZNG-MALLVN
9416269,43044,2020/02/25 10:00:00+00,1925,,530091LH3,100 5TH ST NE 3,OPEN,0,Downtown Mall Vendor,,VEN20-0001,ZNG-ZONING,ZNG-MALLVN
9416270,43043,2019/09/24 08:00:00+00,6245,,330235000,221 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0038,ZNG-ZONING,ZNG-MALLVN
9416272,43041,2019/08/13 08:00:00+00,525,,280040000,300 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0036,ZNG-ZONING,ZNG-MALLVN
9416273,43040,2019/08/05 08:00:00+00,2150,,280010000,200 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0035,ZNG-ZONING,ZNG-MALLVN
9416276,43037,2019/07/19 08:00:00+00,2625,,330234000,223 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0032,ZNG-ZONING,ZNG-MALLVN
9416277,43036,2019/07/17 08:00:00+00,6125,,330240100,201 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0031,ZNG-ZONING,ZNG-MALLVN
9416278,43035,2019/06/12 08:00:00+00,2380,,330274000,225 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0030,ZNG-ZONING,ZNG-MALLVN
9416279,43034,2019/06/12 08:00:00+00,2025,,330274000,227 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0029,ZNG-ZONING,ZNG-MALLVN
9416280,43033,2019/05/30 08:00:00+00,3625,,330240100,201 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0028,ZNG-ZONING,ZNG-MALLVN
9416281,43032,2019/05/30 08:00:00+00,975,,330231000,108  3RD ST NE,OPEN,0,Downtown Mall Vendor,,VEN19-0027,ZNG-ZONING,ZNG-MALLVN
9416282,43031,2019/05/06 08:00:00+00,1925,,530068000,520 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0026,ZNG-ZONING,ZNG-MALLVN
9416283,43030,2019/04/25 08:00:00+00,987.5,,530062000,421 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0025,ZNG-ZONING,ZNG-MALLVN
9416284,43029,2019/04/22 08:00:00+00,625,,330228000,317 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0024,ZNG-ZONING,ZNG-MALLVN
9416285,43028,2019/04/22 08:00:00+00,4125,,280026000,120 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0023,ZNG-ZONING,ZNG-MALLVN
9416286,43027,2019/04/22 08:00:00+00,2275,,530068000,512 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0022,ZNG-ZONING,ZNG-MALLVN
9416287,43026,2019/04/19 08:00:00+00,4125,,330248000,111  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0021,ZNG-ZONING,ZNG-MALLVN
9416288,43025,2019/04/17 08:00:00+00,3745,,280018000,112 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0020,ZNG-ZONING,ZNG-MALLVN
9416289,43024,2019/04/17 08:00:00+00,1955,,280045000,400 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0019,ZNG-ZONING,ZNG-MALLVN
9416290,43023,2019/04/16 08:00:00+00,6875,,330258000,109 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0018,ZNG-ZONING,ZNG-MALLVN
9416291,43022,2019/04/10 08:00:00+00,1340,,280026100,109 2ND ST SE,OPEN,0,Downtown Mall Vendor,,VEN19-0017,ZNG-ZONING,ZNG-MALLVN
9416292,43021,2019/04/09 08:00:00+00,1875,,280052000,422 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0016,ZNG-ZONING,ZNG-MALLVN
9416293,43020,2019/04/08 08:00:00+00,2725,,330266000,201-207 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0015,ZNG-ZONING,ZNG-MALLVN
9416294,43019,2019/04/05 08:00:00+00,3000,,330260000,119  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0014,ZNG-ZONING,ZNG-MALLVN
9416295,43018,2019/04/05 08:00:00+00,4125,,280023000,110 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0013,ZNG-ZONING,ZNG-MALLVN
9416296,43017,2019/04/04 08:00:00+00,4055,,280035000,212 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0012,ZNG-ZONING,ZNG-MALLVN
9416297,43016,2019/04/03 08:00:00+00,5124.5,,330255000,101 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0011,ZNG-ZONING,ZNG-MALLVN
9416298,43015,2019/04/01 08:00:00+00,2380,,330273000,223 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN19-0010,ZNG-ZONING,ZNG-MALLVN
