OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9450635,8606,2009/09/08 08:00:00+00,142.8,2009/09/08 08:00:00+00,290006000,600 WEST MAIN STREET,CLOSED,0,Service Change,,EN-09-0309,B-CONVERT,B-SRVCHG
9450767,8474,2009/06/03 08:00:00+00,77.33,2009/06/03 08:00:00+00,280022000,106  EAST MAIN STREET,CLOSED,0,Wiring,,EN-09-0177,B-CONVERT,B-WIRING
9450788,8453,2009/05/18 08:00:00+00,234.02,2009/05/18 08:00:00+00,100054000,1107 WEST MAIN STREET,CLOSED,0,Wiring,,EN-09-0156,B-CONVERT,B-WIRING
9450790,8451,2009/05/11 08:00:00+00,127.19,2009/05/11 08:00:00+00,280051000,420 EAST MAIN STREET,CLOSED,0,Service Upgrade,,EN-09-0154,B-CONVERT,B-SRVUPG
9450814,8427,2009/04/28 08:00:00+00,91.58,2009/04/28 08:00:00+00,290013000,404  WEST MAIN STREET,CLOSED,0,New Service,,EN-09-0130,B-CONVERT,B-NS
9450825,8416,2009/04/14 08:00:00+00,223.85,2009/04/14 08:00:00+00,280040000,306-308 EAST MAIN STREET,CLOSED,0,Wiring,,EN-09-0119,B-CONVERT,B-WIRING
9450826,8415,2009/04/14 08:00:00+00,127.19,2009/04/14 08:00:00+00,530080000,605  EAST MAIN STREET,CLOSED,0,Wiring,,EN-09-0118,B-CONVERT,B-WIRING
9450843,8398,2009/03/27 08:00:00+00,142.45,2009/03/27 08:00:00+00,280043000,321  EAST WATER STREET,CLOSED,0,Wiring,,EN-09-0101,B-CONVERT,B-WIRING
9450904,8337,2009/02/09 10:00:00+00,223.85,2009/02/09 10:00:00+00,310167000,913 WEST MAIN STREET,CLOSED,0,Wiring,,EN-09-0040,B-CONVERT,B-WIRING
9450912,8329,2009/02/02 10:00:00+00,1129.42,2009/02/02 10:00:00+00,280042000,316 EAST MAIN STREET,CLOSED,0,Wiring,,EN-09-0032,B-CONVERT,B-WIRING
9450942,8299,2009/01/07 10:00:00+00,6847.78,2009/01/07 10:00:00+00,530160000,605 EAST MAIN STREET,ISSUE,0,New Service,,EN-09-0002,B-CONVERT,B-NS
9450948,8293,2009/01/05 10:00:00+00,127.19,2009/01/08 10:00:00+00,280048000,410 EAST MAIN STREET,EXPIRED,0,Service Change,,EN-08-0128,B-CONVERT,B-SRVCHG
9450961,8280,2008/12/19 10:00:00+00,234.02,2009/01/22 10:00:00+00,100063000,1200-02 WEST MAIN STREET,CLOSED,0,Wiring,,EN-08-0115,B-CONVERT,B-WIRING
9450987,8254,2008/12/02 10:00:00+00,157.71,2008/12/05 10:00:00+00,320157000,705  WEST MAIN STREET,CLOSED,0,New Service,,EN-08-0089,B-CONVERT,B-NS
9450991,8250,2008/12/02 10:00:00+00,142.45,2008/12/05 10:00:00+00,330272000,219-221 WEST MAIN STREET,CLOSED,0,New Service,,EN-08-0085,B-CONVERT,B-NS
9451011,8230,2008/11/14 10:00:00+00,178.06,2008/11/14 10:00:00+00,290012000,408 WEST MAIN STREET,CLOSED,0,Wiring,,EN-08-0065,B-CONVERT,B-WIRING
9451042,8199,2008/10/16 08:00:00+00,234.02,2008/10/16 08:00:00+00,330250000,105 EAST MAIN STREET,CLOSED,0,Wiring,,EN-08-0034,B-CONVERT,B-WIRING
9451060,8181,2008/09/18 08:00:00+00,178.06,2008/09/18 08:00:00+00,280024000,114 EAST MAIN STREET,ISSUE,0,Wiring,,EN-08-0016,B-CONVERT,B-WIRING
9451080,8161,2016/02/03 10:00:00+00,0.0,,280041000,310-312 E MAIN ST,CLOSED,0,Emergency Inspeciton,,EMR-16-001,B-CONVERT,B-EMERGENC
9451081,8160,2015/11/03 10:00:00+00,0.0,,100050000,1001 W MAIN ST,CLOSED,0,Emergency Inspeciton,,EMR-15-002,B-CONVERT,B-EMERGENC
9451110,8131,2020/06/30 08:00:00+00,3162.02,2020/07/07 08:00:00+00,280001000,230 W MAIN ST,CLOSED,0,Elevator Permit,,EL-20-0009,B-CONVERT,B-ELEVATOR
9451111,8130,2020/06/09 08:00:00+00,156.88,2020/06/25 08:00:00+00,570157024,1037 E WATER ST,CLOSED,0,Elevator Permit,,EL-20-0008,B-CONVERT,B-ELEVATOR
9451112,8129,2020/06/09 08:00:00+00,156.88,2020/06/25 08:00:00+00,570157022,1033 E WATER ST,CLOSED,0,Elevator Permit,,EL-20-0007,B-CONVERT,B-ELEVATOR
9451113,8128,2020/06/09 08:00:00+00,156.88,2020/06/25 08:00:00+00,570157025,1039 E WATER ST,CLOSED,0,Elevator Permit,,EL-20-0006,B-CONVERT,B-ELEVATOR
9451114,8127,2020/06/04 08:00:00+00,592.22,2020/07/28 08:00:00+00,280001000,240 W MAIN ST,CLOSED,0,Elevator Permit,,EL-20-0005,B-CONVERT,B-ELEVATOR
